dateTime;next_dateTime;arr_volume_group;dep_volume_group;volume_group;metarKey;noPhenDetected;recent;intensity;characteristic;phenomenon1;phenomenon2;phenomenon3
2019-08-01 06:00:00.000;2019-08-01 06:30:00.000;MEDIA;MEDIA;MEDIA;4791073;0;0;NULL;NULL;NULL;NULL;NULL
2019-08-01 07:00:00.000;2019-08-01 07:30:00.000;MEDIA;ALTA;ALTA;4791075;0;0;NULL;NULL;NULL;NULL;NULL
2019-08-01 09:30:00.000;2019-08-01 10:00:00.000;ALTA;ALTA;ALTA;4791080;0;0;NULL;NULL;NULL;NULL;NULL
2019-08-01 10:30:00.000;2019-08-01 11:00:00.000;MEDIA;MEDIA;MEDIA;4791082;0;0;NULL;NULL;NULL;NULL;NULL
2019-08-01 14:00:00.000;2019-08-01 14:30:00.000;MEDIA;ALTA;MEDIA;4791089;0;0;NULL;NULL;NULL;NULL;NULL
2019-08-01 15:00:00.000;2019-08-01 15:30:00.000;MEDIA;ALTA;ALTA;4791091;0;0;NULL;NULL;NULL;NULL;NULL
2019-08-01 18:30:00.000;2019-08-01 19:00:00.000;ALTA;MEDIA;ALTA;4791098;0;0;NULL;NULL;NULL;NULL;NULL
2019-08-01 19:30:00.000;2019-08-01 20:00:00.000;ALTA;MEDIA;MEDIA;4791100;0;0;NULL;NULL;NULL;NULL;NULL
2019-08-01 22:00:00.000;2019-08-01 22:30:00.000;MEDIA;BAJA;MEDIA;4791105;0;0;NULL;NULL;NULL;NULL;NULL
2019-08-01 23:00:00.000;2019-08-01 23:30:00.000;BAJA;MEDIA;MEDIA;4791107;0;0;NULL;NULL;NULL;NULL;NULL
2019-08-02 00:00:00.000;2019-08-02 00:30:00.000;BAJA;BAJA;BAJA;4793554;0;0;NULL;NULL;NULL;NULL;NULL
2019-08-02 01:00:00.000;2019-08-02 01:30:00.000;BAJA;BAJA;BAJA;4793556;0;0;NULL;NULL;NULL;NULL;NULL
2019-08-02 04:30:00.000;2019-08-02 05:00:00.000;BAJA;MEDIA;MEDIA;4793563;0;0;NULL;NULL;NULL;NULL;NULL
2019-08-02 05:30:00.000;2019-08-02 06:00:00.000;MEDIA;ALTA;ALTA;4793565;0;0;NULL;NULL;NULL;NULL;NULL
2019-08-02 09:00:00.000;2019-08-02 09:30:00.000;MEDIA;MEDIA;MEDIA;4793572;0;0;NULL;NULL;NULL;NULL;NULL
2019-08-02 10:00:00.000;2019-08-02 10:30:00.000;MEDIA;ALTA;ALTA;4793574;0;0;NULL;NULL;NULL;NULL;NULL
2019-08-02 13:30:00.000;2019-08-02 14:00:00.000;MEDIA;ALTA;ALTA;4793581;0;0;NULL;NULL;NULL;NULL;NULL
2019-08-02 17:00:00.000;2019-08-02 17:30:00.000;MEDIA;MEDIA;MEDIA;4793588;0;0;NULL;NULL;NULL;NULL;NULL
2019-08-02 18:00:00.000;2019-08-02 18:30:00.000;MEDIA;ALTA;ALTA;4793590;0;0;NULL;NULL;NULL;NULL;NULL
2019-08-02 21:30:00.000;2019-08-02 22:00:00.000;MEDIA;MEDIA;MEDIA;4793597;0;0;NULL;NULL;NULL;NULL;NULL
2019-08-02 22:30:00.000;2019-08-02 23:00:00.000;BAJA;MEDIA;MEDIA;4793599;0;0;NULL;NULL;NULL;NULL;NULL
